Producto_JS,Archivo_JS,Match_Excel,Marca,PrecioUSD,Similaridad
MOTOROLA Moto G84,import-productos-final,Mouse optico -Usb 1000dpi -black Philips M234 (SPK7234),Philips,2.74,0.278
MOTOROLA Moto G84,import-productos-completos,Joystick game pad -p/ps2 -12 botones programables -vibration -black -Noganet (NG-3004),Noganet,7.76,0.272
MOTOROLA Moto G84,import-productos-final,Joystick game pad -p/ps2 -12 botones programables -vibration -black -Noganet (NG-3004),Noganet,7.76,0.272
MacBook Air M2,import-productos-completos,Set Limpia Teclado y Auricular Ganic 8 en 1,Gadnic,7.47,0.316
MacBook Air M2,import-productos-completos,Cartucho HP original Ink Advantage 667 -2ml -tricolor (3YM78AL),Hewlett Packard,13.69,0.286
MacBook Air M2,import-productos-completos,Cartucho p/Epson XP-2101 -cyan -Gneiss (GN-EP206C),Gneiss,3.97,0.281
Monitor Dell 27\,import-productos-completos,Conector Plug RJ45 Cat5e -50 unidades -Kelyx (0417527),Kelyx,3.64,0.343
Monitor Dell 27\,import-productos-final,Conector Plug RJ45 Cat5e -50 unidades -Kelyx (0417527),Kelyx,3.64,0.343
Monitor Dell 27\,import-productos-completos,Conector Plug RJ45 Cat6 -50 unidades -Kelyx (0417528),Kelyx,6.73,0.319
Monitor Dell 27\,import-productos-final,Conector Plug RJ45 Cat6 -50 unidades -Kelyx (0417528),Kelyx,6.73,0.319
Monitor Dell 27\,import-productos-completos,Lámpara Globo Filamento LED E27 5W Ø125mm Blanco Cálido 220V,Demasled,4.92,0.316
Monitor Dell 27\,import-productos-final,Lámpara Globo Filamento LED E27 5W Ø125mm Blanco Cálido 220V,Demasled,4.92,0.316
Monitor Gamer 24\,import-with-auth,Conector Plug RJ45 Cat6 -50 unidades -Kelyx (0417528),Kelyx,6.73,0.314
Monitor Gamer 24\,test-monitor-import,Conector Plug RJ45 Cat6 -50 unidades -Kelyx (0417528),Kelyx,6.73,0.314
Monitor Gamer 24\,import-with-auth,Conector Plug RJ45 Cat5e -50 unidades -Kelyx (0417527),Kelyx,3.64,0.31
Monitor Gamer 24\,test-monitor-import,Conector Plug RJ45 Cat5e -50 unidades -Kelyx (0417527),Kelyx,3.64,0.31
Monitor Gamer 24\,import-with-auth,Set Limpia Teclado y Auricular Ganic 8 en 1,Gadnic,7.47,0.3
Monitor Gamer 24\,test-monitor-import,Set Limpia Teclado y Auricular Ganic 8 en 1,Gadnic,7.47,0.3
Monitor Gamer 27\,import-with-auth,Conector Plug RJ45 Cat5e -50 unidades -Kelyx (0417527),Kelyx,3.64,0.338
Monitor Gamer 27\,test-monitor-import,Conector Plug RJ45 Cat5e -50 unidades -Kelyx (0417527),Kelyx,3.64,0.338
Monitor Gamer 27\,import-with-auth,Conector Plug RJ45 Cat6 -50 unidades -Kelyx (0417528),Kelyx,6.73,0.314
Monitor Gamer 27\,test-monitor-import,Conector Plug RJ45 Cat6 -50 unidades -Kelyx (0417528),Kelyx,6.73,0.314
Monitor Gamer 27\,import-with-auth,Rollo cable UTP Cat5e -interior -305mts -Kelyx (0402757),Kelyx,53.08,0.301
Monitor Gamer 27\,test-monitor-import,Rollo cable UTP Cat5e -interior -305mts -Kelyx (0402757),Kelyx,53.08,0.301
Monitor Gaming 24\,import-productos-completos,Set Limpia Teclado y Auricular Ganic 8 en 1,Gadnic,7.47,0.328
Monitor Gaming 24\,import-productos-final,Set Limpia Teclado y Auricular Ganic 8 en 1,Gadnic,7.47,0.328
Monitor Gaming 24\,import-productos-completos,Placa de sonido 7.1 -externa -usb -aluminio -gold -Noganet (HE-282),Noganet,2.55,0.306
Monitor Gaming 24\,import-productos-final,Placa de sonido 7.1 -externa -usb -aluminio -gold -Noganet (HE-282),Noganet,2.55,0.306
Monitor Gaming 24\,import-productos-completos,Cable HDMI M/M v1.4 -2mts -conectores dorados -Noganet (HDMI-2M 1.4),Noganet,1.62,0.302
Monitor Gaming 24\,import-productos-final,Cable HDMI M/M v1.4 -2mts -conectores dorados -Noganet (HDMI-2M 1.4),Noganet,1.62,0.302
Monitor Led 19.5\,import-with-auth,Conector Plug RJ45 Cat5e -50 unidades -Kelyx (0417527),Kelyx,3.64,0.338
Monitor Led 19.5\,test-monitor-import,Conector Plug RJ45 Cat5e -50 unidades -Kelyx (0417527),Kelyx,3.64,0.338
Monitor Led 19.5\,import-with-auth,Tapon ciego -white -Taad (S8100),TAAD,0.0,0.327
Monitor Led 19.5\,test-monitor-import,Tapon ciego -white -Taad (S8100),TAAD,0.0,0.327
Monitor Led 19.5\,import-with-auth,Conector Plug RJ45 Cat6 -50 unidades -Kelyx (0417528),Kelyx,6.73,0.314
Monitor Led 19.5\,test-monitor-import,Conector Plug RJ45 Cat6 -50 unidades -Kelyx (0417528),Kelyx,6.73,0.314
Monitor Led 20\,import-with-auth,Tapon ciego -white -Taad (S8100),TAAD,0.0,0.34
Monitor Led 20\,test-monitor-import,Tapon ciego -white -Taad (S8100),TAAD,0.0,0.34
Monitor Led 20\,import-with-auth,Lámpara Globo Filamento LED E27 5W Ø125mm Blanco Cálido 220V,Demasled,4.92,0.32
